title,description,credits,prerequisites
COMP SCI/L I S  102 — INTRODUCTION TO COMPUTING,"Provides a broad overview of computing at an introductory level, including topics such as security, robotics, and artificial intelligence. Increases understanding of how computers work and how algorithms solve problems. Design and implement creative applications in an introductory coding environment. Provides a broad overview of computing and algorithms without an emphasis on programming.",3,MATH 96
COMP SCI 200 — PROGRAMMING I,"Learn the process of incrementally developing small (200-500 lines) programs along with the fundamental Computer Science topics. These topics include: problem abstraction and decomposition, the edit-compile-run cycle, using variables of primitive and more complex data types, conditional and loop-based flow control, basic testing and debugging techniques, how to define and call functions (methods), and IO processing techniques. Also teaches and reinforces good programming practices including the use of a consistent style, and meaningful documentation. Intended for students who have no prior programming experience.",3,
COMP SCI 220 — DATA SCIENCE PROGRAMMING I,Introduction to Data Science programming using Python.  No previous programming experience required.  Emphasis on analyzing real datasets in a variety of forms and visual communication.,4,COMP SCI 301
COMP SCI/MATH  240 — INTRODUCTION TO DISCRETE MATHEMATICS,"Basic concepts of logic, sets, partial order and other relations, and functions. Basic concepts of mathematics (definitions, proofs, sets, functions, and relations) with a focus on discrete structures: integers, bits, strings, trees, and graphs.  Propositional logic, Boolean algebra, and predicate logic. Mathematical induction and recursion. Invariants and algorithmic correctness. Recurrences and asymptotic growth analysis. Fundamentals of counting.",3,MATH 217
COMP SCI/E C E  252 — INTRODUCTION TO COMPUTER ENGINEERING,"Logic components built with transistors, rudimentary Boolean algebra, basic combinational logic design, basic synchronous sequential logic design, basic computer organization and design, introductory machine- and assembly-language programming.",3,
COMP SCI 270 — FUNDAMENTALS OF HUMAN-COMPUTER INTERACTION,"User-centered software design including principles and methods for understanding user needs, designing and prototyping interface solutions, and evaluating their usability covered through lectures and hands-on in-class activities.  Meets with COMP SCI 570.",3,COMP SCI 570
COMP SCI 272 — INTRODUCTION TO WEB DEVELOPMENT,"Introduces methods and tools for creating/maintaining secure and interactive web content. Topics include programming fundamentals to support core web concepts, application development essentials, and content management systems. Web best practices - such as accessibility, design, and critical thinking about relevant ethics and organization. Covers practical skills to design and implement websites using popular scripting languages and frameworks, content management systems (CMSs), and related tools.",3,
COMP SCI 298 — DIRECTED STUDY IN COMPUTER SCIENCE,Undergraduate directed study in computer sciences.,1,
COMP SCI 300 — PROGRAMMING II,"Introduction to Object-Oriented Programming using classes and objects to solve more complex problems. Introduces array-based and linked data structures: including lists, stacks, and queues. Programming assignments require writing and developing multi-class (file) programs using interfaces, generics, and exception handling to solve challenging real world problems. Topics reviewed include reading/writing data and objects from/to files and exception handling, and command line arguments. Topics introduced: object-oriented design; class vs. object; create and define interfaces and iterators; searching and sorting; abstract data types (List,Stack,Queue,PriorityQueue(Heap),Binary Search Tree); generic interfaces (parametric polymorphism); how to design and write test methods and classes; array based vs. linked node implementations; introduction to complexity analysis; recursion.",3,COMP SCI 200
COMP SCI 304 — WES-CS GROUP MEETING,"Small group meetings for Wisconsin Emerging Scholars - Computer Science (WES-CS) students. Meets in small groups to work together on problems related to the COMP SCI 200 course material. For information about WES-CS membership, contact the computer sciences department.",0,COMP SCI 200
COMP SCI 310 — PROBLEM SOLVING USING COMPUTERS,"Gives students an introduction to computer and analytical skills to use in their subsequent course work and professional development. Discusses several methods of using computers to solve problems, including elementary programming techniques, symbolic manipulation languages, and software packages. Techniques will be illustrated using sample problems drawn from elementary engineering. Emphasis is on introduction of algorithms with the use of specific tools to illustrate the methods.",3,MATH 222
COMP SCI 319 — DATA SCIENCE PROGRAMMING I FOR RESEARCH,"Introduction to Data Science programming using Python. In addition to a survey of programming basics (control flow and data structures), web scraping, database queries, and tabular analysis will be introduced. Projects will emphasize analyzing real datasets in a variety of forms and visual communication using plotting tools. Similar to COMP SCI 220 but the pedagogical style of the projects will be adapted to graduate students in fields other than computer science and data science. No previous programming experience required.",3,
COMP SCI 320 — DATA SCIENCE PROGRAMMING II,"Intermediate approach to Data Science programming using Python. Experience with basic tabular analysis in Python is assumed. Learn to implement data structures (e.g., graphs) to efficiently represent datasets. Software-engineering tools such as version control and Python virtual environments will be introduced, with an emphasis on reproducibility of analysis. Tracing and A/B testing will be introduced as techniques for generating meaningful datasets. Introduces basic classification, clustering, optimization, and simulation techniques. Plotting and visual communication will be emphasized throughout the course.",4,COMP SCI 220
COMP SCI/E C E  352 — DIGITAL SYSTEM FUNDAMENTALS,"Logic components, Boolean algebra, combinational logic analysis and synthesis, synchronous and asynchronous sequential logic analysis and design, digital subsystems, computer organization and design.",3,
COMP SCI/E C E  354 — MACHINE ORGANIZATION AND PROGRAMMING,"An introduction to fundamental structures of computer systems and the C programming language with a focus on the low-level interrelationships and impacts on performance. Topics include the virtual address space and virtual memory, the heap and dynamic memory management, the memory hierarchy and caching, assembly language and the stack, communication and interrupts/signals, compiling and assemblers/linkers.",3,COMP SCI 300 or COMP SCI 302
COMP SCI 368 — LEARNING A PROGRAMMING LANGUAGE,"For students interested in learning a particular programming language. Focuses on a specific language offered at one of three levels: beginner, intermediate, and advanced. Students may repeat the course if the topic title is different.",1,
COMP SCI 400 — PROGRAMMING III,"The third course in our programming fundamentals sequence. It presumes that students understand and use functional and object-oriented design and abstract data types as needed. This course introduces balanced search trees, graphs, graph traversal algorithms, hash tables and sets, and complexity analysis and about classes of problems that require each data type. Students are required to design and implement using high quality professional code, a medium sized program, that demonstrates knowledge and use of latest language features, tools, and conventions. Additional topics introduced will include as needed for projects: inheritance and polymorphism; anonymous inner classes, lambda functions, performance analysis to discover and optimize critical code blocks. Students learn about industry standards for code development. Students will design and implement a medium size project with a more advanced user-interface design, such as a web or mobile application with a GUI and event- driven implementation; use of version-control software.",3,COMP SCI 300
COMP SCI 402 — INTRODUCING COMPUTER SCIENCE TO K-12 STUDENTS,Work in teams to lead Computer Science clubs and workshops for K-12 students at sites in the Madison area. Design and lead activities to help K-12 students learn computational thinking and computer programming.,2,COMP SCI 200
COMP SCI/STAT  403 — INTERNSHIP COURSE IN COMP SCI AND DATA SCIENCE,Enables students with outside internships to earn academic credit connected to their work experience related to the Computer Sciences or Data Science programs.,1,
COMP SCI 407 — FOUNDATIONS OF MOBILE SYSTEMS AND APPLICATIONS,"Design and implementation of applications, systems, and services for mobile platforms with (i) constraints, such as limited processing, memory, energy, interfaces, variable bandwidth, and high mobility, and (ii) features, such as touchscreens, cameras, electronic compasses, GPS, and accelerometers.",3,COMP SCI 400
COMP SCI 412 — INTRODUCTION TO NUMERICAL METHODS,"Interpolation, solution of linear and nonlinear systems of equations, approximate integration and differentiation, numerical solution of ordinary differential equations, Data fitting (such as least squares) by polynomials and splines. Knowledge of matrix algebra recommended, such as MATH 340.",3,MATH 222
COMP SCI/I SY E/MATH  425 — INTRODUCTION TO COMBINATORIAL OPTIMIZATION,"Focuses on optimization problems over discrete structures, such as shortest paths, spanning trees, flows, matchings, and the traveling salesman problem. We will investigate structural properties of these problems, and we will study both exact methods for their solution, and approximation algorithms.",3,MATH 320 or MATH 375
COMP SCI/E C E/MATH  435 — INTRODUCTION TO CRYPTOGRAPHY,Cryptography is the art and science of transmitting digital information in a secure manner. Provides an introduction to its technical aspects.,3,MATH 320 or MATH 375
COMP SCI/STAT  471 — INTRODUCTION TO COMPUTATIONAL STATISTICS,"Classical statistical procedures arise where closed-form mathematical expressions are available for various inference summaries (e.g. linear regression; analysis of variance). A major emphasis of modern statistics is the development of inference principles in cases where both more complex data structures are involved and where more elaborate computations are required. Topics from numerical linear algebra, optimization, Monte Carlo (including Markov chain Monte Carlo), and graph theory are developed, especially as they relate to statistical inference (e.g., bootstrapping, permutation, Bayesian inference, EM algorithm, multivariate analysis).",3,STAT 333 or STAT 340
COMP SCI/L I S  472 — INTRODUCTION TO WEB DEVELOPMENT,"Applied web development introduces methods and tools for creating/maintaining secure and interactive web content. Topics include programming fundamentals to support core web concepts, application development essentials, and content management systems. Web best practices - such as accessibility, design, and critical thinking about relevant ethics and organization - will be incorporated throughout. Gain practical skills to design and implement websites using popular scripting languages and frameworks, content management systems (CMSs), and related tools.",3,COMP SCI 272
COMP SCI/MATH/STAT  475 — INTRODUCTION TO COMBINATORICS,"Problems of enumeration, distribution, and arrangement. Inclusion-exclusion principle. Generating functions and linear recurrence relations. Combinatorial identities. Graph coloring problems. Finite designs. Systems of distinct representatives and matching problems in graphs. Potential applications in the social, biological, and physical sciences. Puzzles. Problem solving.",3,MATH 320 or MATH 375
COMP SCI/CURRIC  502 — THEORY AND PRACTICE IN COMPUTER SCIENCE EDUCATION,Computer science educational pedagogy and general teaching practices. Practical experience gained through tutoring students. Knowledge of object-oriented programming required.,1,COMP SCI 300
COMP SCI/E C E  506 — SOFTWARE ENGINEERING,"Ideas and techniques for designing, developing, and modifying large software systems. Topics include software engineering processes; requirements and specifications; project team organization and management; software architectures; design patterns; testing and debugging; and cost and quality metrics and estimation. Students will work in large teams on a substantial programming project.",3,COMP SCI 367 or COMP SCI 400
COMP SCI/MATH  513 — NUMERICAL LINEAR ALGEBRA,"Direct and iterative solution of linear and nonlinear systems and of eigenproblems. LU and symmetric LU factorization. Complexity, stability, and conditioning. Nonlinear systems. Iterative methods for linear systems. QR-factorization and least squares. Eigenproblems: local and global methods.",3,MATH 340 or MATH 375
COMP SCI/MATH  514 — NUMERICAL ANALYSIS,"Polynomial forms, divided differences. Polynomial interpolation. Polynomial approximation: uniform approximation and Chebyshev polynomials, least-squares approximation and orthogonal polynomials. Numerical differentiation and integration. Splines, B-splines and spline approximation. Numerical methods for solving initial and boundary value problems for ordinary differential equations.",3,MATH 320 or MATH 375
COMP SCI/DS/I SY E  518 — WEARABLE TECHNOLOGY,"Gives students hands-on experience in building wearable computing platforms. Designed for students who have a background in textiles and apparel design, computer science, engineering or media arts. By the completion of the course students will have fundamental knowledge of electronic circuitry, programming, and ""maker skills"".",3,
COMP SCI 520 — INTRODUCTION TO THEORY OF COMPUTING,"Basics about the notion, capabilities, and limitations of computation: elements of finite automata and regular languages, computability theory, and computational complexity theory. Additional topics include context-free grammars and languages, and complexity-theoretic cryptography.",3,COMP SCI 367 or COMP SCI 400
COMP SCI/E C E/I SY E  524 — INTRODUCTION TO OPTIMIZATION,"Introduction to mathematical optimization from a modeling and solution perspective. Formulation of applications as discrete and continuous optimization problems and equilibrium models. Survey and appropriate usage of basic algorithms, data and software tools, including modeling languages and subroutine libraries.",3,COMP SCI 200
COMP SCI/I SY E/MATH/STAT  525 — LINEAR OPTIMIZATION,"Introduces optimization problems whose constraints are expressed by linear inequalities. Develops geometric and algebraic insights into the structure of the problem, with an emphasis on formal proofs. Presents the theory behind the simplex method, the main algorithm used to solve linear optimization problems. Explores duality theory and theorems of the alternatives.",3,MATH 320 or MATH 443
COMP SCI/I SY E  526 — ADVANCED LINEAR PROGRAMMING,Review of linear programming. Polynomial time methods for linear programming. Quadratic programs and linear complementarity problems and related solution techniques. Solution sets and their continuity properties. Error bounds for linear inequalities and programs. Parallel algorithms for linear and quadratic programs.,3,COMP SCI 200
COMP SCI/E C E/M E  532 — MATRIX METHODS IN MACHINE LEARNING,"Linear algebraic foundations of machine learning featuring real-world applications of matrix methods from classification and clustering to denoising and data analysis. Mathematical topics include: linear equations, regression, regularization, the singular value decomposition, and iterative algorithms. Machine learning topics include: the lasso, support vector machines, kernel methods, clustering, dictionary learning, neural networks, and deep learning. Previous exposure to numerical computing (e.g. Matlab, Python, Julia, R) required.",3,MATH 234
COMP SCI/E C E  533 — IMAGE PROCESSING,"Mathematical representation of continuous and digital images; models of image degradation; picture enhancement, restoration, segmentation, and coding; pattern recognition, tomography.",3,ECE 330
COMP SCI 534 — COMPUTATIONAL PHOTOGRAPHY,"Study of sensing and computational techniques that enhance or extend the capabilities of digital photography by using methods from computer vision and computer graphics to create new visual representations. Algorithms for analyzing, improving, manipulating, combining, and synthesizing images.",3,COMP SCI 300 or COMP SCI 367
COMP SCI 536 — INTRODUCTION TO PROGRAMMING LANGUAGES AND COMPILERS,Introduction to the theory and practice of compiler design. Comparison of features of several programming languages and their implications for implementation techniques. Several programming projects required.,3,COMP SCI 367 or COMP SCI 400
COMP SCI 537 — INTRODUCTION TO OPERATING SYSTEMS,"Input-output hardware, interrupt handling, properties of magnetic tapes, discs and drums, associative memories and virtual address translation techniques. Batch processing, time sharing and real-time systems, scheduling resource allocation, modular software systems, performance measurement and system evaluation.",4,COMP SCI 367 or COMP SCI 400
COMP SCI 538 — INTRODUCTION TO THE THEORY AND DESIGN OF PROGRAMMING LANGUAGES,"Design and theory of programming languages: procedural, object-oriented, functional and logic paradigms. Serial and concurrent programming. Execution models and formal specification techniques.",3,COMP SCI 367 or COMP SCI 400
COMP SCI/E C E/M E  539 — INTRODUCTION TO ARTIFICIAL NEURAL NETWORKS,"Theory and applications of artificial neural networks: multi-layer perceptron, self-organization mapdeep neural network convolutional neural network, recurrent network, support vector machines genetic algorithm, and evolution computing. Applications to control, pattern recognition, prediction, and object detection and tracking.",3,COMP SCI 200
COMP SCI 540 — INTRODUCTION TO ARTIFICIAL INTELLIGENCE,"Principles of knowledge-based search techniques, automatic deduction, knowledge representation using predicate logic, machine learning, probabilistic reasoning. Applications in tasks such as problem solving, data mining, game playing, natural language understanding, computer vision, speech recognition, and robotics.",3,COMP SCI 300 or COMP SCI 367
COMP SCI 541 — THEORY & ALGORITHMS FOR DATA SCIENCE,"Theoretical methods for data science. Topics include: review of probability background, concentration inequalities, geometry of high dimensional random variables, parametric and non-parametric estimation, selected topics from optimization (optimality conditions; deterministic and stochastic gradient descent), PAC learning, sample complexity and algorithms for linear classification and regression, and property/distribution testing. Uses Python programming language.",3,COMP SCI 200
COMP SCI 542 — INTRODUCTION TO SOFTWARE SECURITY,"Teaches the security considerations that occur during all steps of the software development life cycle: methodologies for designing secure software, programming using secure programming techniques, in-depth vulnerability assessment methodologies, static and dynamic analysis tools for evaluating software security, and system defenses reducing security threats.",3,COMP SCI 400 or COMP SCI 320
COMP SCI 544 — INTRODUCTION TO BIG DATA SYSTEMS,"Deploy and use distributed systems to store and analyze large datasets.  Unstructured and structured approaches to storage will be covered.  Analysis will involve learning new query languages, processing streaming data, and training machine learning models.  Most programming will be done in Python.",3,COMP SCI 320
COMP SCI/E C E  552 — INTRODUCTION TO COMPUTER ARCHITECTURE,"The design of computer systems and components. Processor design, instruction set design, and addressing; control structures and microprogramming; memory management, caches, and memory hierarchies; and interrupts and I/O structures.  E C E 551 or knowledge of Verilog is recommended.",3,
COMP SCI/I SY E/M E  558 — INTRODUCTION TO COMPUTATIONAL GEOMETRY,"Introduction to fundamental geometric computations and algorithms, and their use for solving engineering and scientific problems. Computer representations of simple geometric objects and paradigms for algorithm design. Applications from areas of engineering analysis, design and manufacturing, biology, statistics, and other sciences.",3,COMP SCI 367 or COMP SCI 400
COMP SCI 559 — COMPUTER GRAPHICS,"Survey of computer graphics. Image representation, formation, presentation, composition and manipulation. Modeling, transformation, and display of geometric objects in two and three dimensions. Representation of curves and surfaces. Rendering, animation, multi-media and visualization. Fluency with vector mathematics (e.g., from MATH 234 or a linear algebra class) is recommended.",3,MATH 222
COMP SCI/E C E  561 — PROBABILITY AND INFORMATION THEORY IN MACHINE LEARNING,"Probabilistic tools for machine learning and analysis of real-world datasets. Introductory topics include classification, regression, probability theory, decision theory and quantifying information with entropy, relative entropy and mutual information. Additional topics include naive Bayes, probabilistic graphical models, discriminant analysis, logistic regression, expectation maximization, source coding and variational inference.",3,MATH 320
COMP SCI 564 — DATABASE MANAGEMENT SYSTEMS: DESIGN AND IMPLEMENTATION,"What a database management system is; different data models currently used to structure the logical view of the database: relational, hierarchical, and network. Hands-on experience with relational and network-based database systems. Implementation techniques for database systems. File organization, query processing, concurrency control, rollback and recovery, integrity and consistency, and view implementation.",4,COMP SCI 367 or COMP SCI 400
COMP SCI 565 — INTRODUCTION TO DATA VISUALIZATION,"Introduction to topics such as perception, cognition, communication, design, implementation, applications, tools, and evaluation. Provides a broad survey of the field  and covers fundamental concepts, theory, and tools in data visualization with opportunities for hands-on activities. Gain real-world experience in designing and evaluating visualizations.",3,COMP SCI 320
COMP SCI 566 — INTRODUCTION TO COMPUTER VISION,"Topics include image formation, feature detection, motion estimation, image mosaics, 3D shape reconstruction, and object recognition. Applications of these techniques include building 3D maps, creating virtual characters, organizing photo and video databases, human computer interaction, video surveillance, and automatic vehicle navigation. Broad overview of various computer vision and machine learning techniques and sensing and imaging technologies used in computer vision applications. This is a project-based course.",3,COMP SCI 400
COMP SCI/B M I  567 — MEDICAL IMAGE ANALYSIS,"Present introductory medical image processing and analysis techniques. Topics include medical imaging formats, segmentation, registration, image quantification, classification.  Strongly encourage Matlab experience, such as COMP SCI 310 or 368-Matlab.",3,MATH 320 or MATH 340
COMP SCI 570 — INTRODUCTION TO HUMAN-COMPUTER INTERACTION,"User-centered software design: (1) principles of and methods for understanding user needs; designing and prototyping interface solutions; and evaluating their usability, (2) their applications in designing multiple types of interfaces through group projects.",3,
COMP SCI 571 — BUILDING USER INTERFACES,"Introduces software development of user interfaces (UIs).  Build competence in implementing UIs using state-of-the-art (1) UI paradigms, such as event-driven interfaces, direct-manipulation interfaces, and dialogue-based interaction; (2) methods for capturing, interpreting, and responding to different forms of user input and states, including pointing, text entry, speech, touch, gestures, user activity, context, and physiological states; and (3) platform-specific UI development APIs, frameworks, and toolkits for multiple platforms including web/mobile/desktop interfaces, natural user interfaces, and voice user interfaces. Learn about the fundamental concepts, technologies, algorithms, and methods in building user interfaces, implement UIs using of state-of-the-art UI development tools, and build a UI development portfolio.",3,COMP SCI 400
COMP SCI/B M I  576 — INTRODUCTION TO BIOINFORMATICS,"Algorithms for computational problems in molecular biology. Studies algorithms for problems such as: genome sequencing and mapping, pairwise and multiple sequence alignment, modeling sequence classes and features, phylogenetic tree construction, and gene-expression data analysis.",3,COMP SCI 320 or COMP SCI 400
COMP SCI 577 — INTRODUCTION TO ALGORITHMS,"Basic paradigms for the design and analysis of efficient algorithms: greed, divide-and-conquer, dynamic programming, reductions, and the use of randomness. Computational intractability including typical NP-complete problems and ways to deal with them.",4,COMP SCI 367 or COMP SCI 400
COMP SCI 578 — CONTEST-LEVEL PROGRAMMING,"Training in computer programming for competitions: assessing the coding difficulty and complexity of computational problems, recognizing the applicability of known algorithms, fast coding and testing, team work. COMP SCI 577 is suggested but not required.",1,COMP SCI 300 or COMP SCI 367
COMP SCI/DS  579 — VIRTUAL REALITY,"Introduces students to the field of virtual reality and focuses on creating immersive, interactive virtual experiences. Survey topics include historical perspectives on virtual reality technology, computer graphics and 3D modeling, human perception and psychology, human computer interaction and user interface design. This course is designed for students with backgrounds in Computer Science, Engineering, Art, Architecture and Design. Students will work in interdisciplinary teams on projects, culminating in a final event that will be showcased to the public. While not an official uisite, the class will be technologically motivated; therefore students should be comfortable learning new software. The class will utilize publicly available game design software which provides tools and services for the creation of interactive content. While not necessary, students may find it helpful to have taken classes in programming and computer graphics (such COMP SCI 559: Computer Graphics) or in 3D modeling (such as ART 429: 3D Digital Studio I or DS 242: Visual Communication II).",3,
COMP SCI/L I S  611 — USER EXPERIENCE DESIGN 1,"Introduction to the user experience design including key stages of the design process, design ethics, and the methods and tools involved at each stage of design.  Conduct formative research on clients, users, use contexts and tasks. Gain experience with user research methodologies and learn to create intermediate design tools such as personas. Develop and present a design proposal for a chosen project.",3,
COMP SCI/L I S  612 — USER EXPERIENCE DESIGN 2,"Advanced study of UX design. Introduces processes of ideation, key concepts of visual design, conceptual and interaction design, low and high-resolution prototyping of design techniques. Applications include drafting designs based on user models and initial testing of prototypes.",3,
COMP SCI/L I S  613 — USER EXPERIENCE DESIGN 3,"Conduct formal evaluations of the user experience (UX) or usability of a digital system. Gain familiarity with the evaluation and research process including key stages, tasks for each stage, common data collection and analysis methods, and common tools employed in the field. Gain experience with a variety of UX evaluation approaches. Collect pilot data and develop a proposal for further UX testing.",3,
COMP SCI/L I S  614 — USER EXPERIENCE DESIGN CAPSTONE,"Applies a design studio critique approach to produce a learning environment of collaborative and interdisciplinary peer critique and learning, in addition to provide expert feedback and suggestions. Present and defend the latest iteration of the user experience design project developed in earlier courses while learning about the professions associated with digital user experience design.",1,
COMP SCI 620 — COMPUTER SCIENCES CAPSTONE,"Build a meaningful product from start to finish with a local, regional, national and international corporate client that solves a real-world problem. In a collaborative space design, develop, test, debug, document, and deliver a software project for a corporate client, learning and using new technologies and agile software development techniques.",3,COMP SCI 400
COMP SCI/I SY E  635 — TOOLS AND ENVIRONMENTS FOR OPTIMIZATION,"Formulation and modeling of applications from computer sciences, operations research, business, science and engineering involving optimization and equilibrium models. Survey and appropriate usage of software tools for solving such problems, including modeling language use, automatic differentiation, subroutine libraries and web-based optimization tools and environments.",3,MATH 320 or MATH 375
COMP SCI 638 — UNDERGRADUATE TOPICS IN COMPUTING,Selected topics in computing. Each offering of the course will cover a topic selected by the instructor and may cover one or more topics from all of computer science.,1,COMP SCI 200
COMP SCI 639 — UNDERGRADUATE ELECTIVE TOPICS IN COMPUTING,Selected topics in computing. Each offering of the course will cover a topic selected by the instructor. Offerings of this course will provide sufficient depth into their subject to count as electives to meet CS Major requirements.,3,
COMP SCI 640 — INTRODUCTION TO COMPUTER NETWORKS,"Architecture of computer networks and network protocols, protocol layering, reliable transmission, congestion control, flow control, naming and addressing, unicast and multicast routing, network security, network performance widely used protocols such as Ethernet, wireless LANs, IP, TCP, and HTTP.",3,COMP SCI 537
COMP SCI 642 — INTRODUCTION TO INFORMATION SECURITY,"Senior level undergraduate course covering various topics on information security. Covers a wide range of topics, such as cryptographic primitives, security protocols, system security, and emerging topics.  Elementary knowledge of mathematical logic and discrete probability theory needed, such as MATH/COMP COMP SCI  240.",3,COMP SCI 537
COMP SCI 681 — SENIOR HONORS THESIS,Individual study for seniors completing theses for honors in the Computer Sciences major as arranged with a faculty member.,3,
COMP SCI 682 — SENIOR HONORS THESIS,Individual study for seniors completing theses for honors in the Computer Sciences major as arranged with a faculty member. Continuation of COMP SCI 681,3,
COMP SCI 691 — SENIOR THESIS,Individual study for seniors completing theses as arranged with a faculty member.,2,
COMP SCI 692 — SENIOR THESIS,"Individual study for seniors completing theses as arranged with a faculty member, continuation of COMP SCI 691",2,
COMP SCI 698 — DIRECTED STUDY,Directed study projects for juniors and seniors as arranged with a faculty member.,1,
COMP SCI 699 — DIRECTED STUDY,Directed study projects for juniors and seniors as arranged with a faculty member.,1,
