Title,Description,Credits,Prerequisites
MATH 635 — AN INTRODUCTION TO BROWNIAN MOTION AND STOCHASTIC CALCULUS,"Presents an introduction to Brownian motion and its application to stochastic calculus. Sample path properties of Brownian motion, Ito stochastic integrals, Ito's formula, stochastic differential equations and properties of their solutions, and various applications will be included.",3 credits.,MATH 521
MATH/E C E  641 — INTRODUCTION TO ERROR-CORRECTING CODES,"Coding theory. Codes (linear, Hamming, Golay, dual); decoding-encoding; Shannon's theorem; sphere-packing; singleton and Gilbert-Varshamov bounds; weight enumerators; MacWilliams identities; finite fields; other codes (Reed-Muller, cyclic, BCH, Reed-Solomon) and error-correction algorithms.",3 credits.,MATH 541
MATH 681 — SENIOR HONORS THESIS,Individual study for honors math majors writing a thesis in mathematics.,3 credits.,None
MATH 682 — SENIOR HONORS THESIS,Individual study for honors math majors writing a thesis in mathematics.,3 credits.,None
MATH 691 — UNDERGRADUATE THESIS,Individual study for students writing a thesis in mathematics.,2-4 credits.,None
MATH 692 — UNDERGRADUATE THESIS,Individual study for students writing a thesis in mathematics.,2-4 credits.,None
MATH 698 — DIRECTED STUDY,Directed study projects as arranged with a faculty member.,1-3 credits.,None
MATH 699 — DIRECTED STUDY,Directed study projects as arranged with a faculty member.,1-6 credits.,None
MATH 703 — METHODS OF APPLIED MATHEMATICS 1,"Study of the linear algebraic structure underlying discrete equilibrium problems. Boundary value problems for continous equilibria: Sturm-Liouville equations, Laplace's equation, Poisson's equation, and the equations for Stokes flow. Contour integration and conformal mapping. Applications of dynamics leading to initial value problems for ODEs and PDEs. Green's functions for ODEs and introduction to asymptotic methods for ODEs, e.g. WKB analysis. Separation of variables and eigenfunction expansions for linear PDEs. Examples from physics and engineering throughout. Knowledge of undergraduate linear algebra, analysis and complex analysis is strongly recommended.",3 credits.,None
MATH 704 — METHODS OF APPLIED MATHEMATICS-2,"Derivation, nature and solution of canonical partial differential equations of applied mathematics. Conservation laws, advection, diffusion. First order PDEs, characteristics, shocks. Traffic flow, eikonal and Hamilton-Jacobi equations. Higher order PDEs: classification, Fourier analysis, well-posedness. Series solutions and integral transforms. Green's functions and distributions. Similarity solutions. Asymptotics of Fourier integrals. Laplace's method, stationary phase. Ship waves. Perturbation methods. Knowledge of undergraduate linear algebra, analysis and complex analysis is strongly recommended.",3 credits.,None
MATH 705 — MATHEMATICAL FLUID DYNAMICS,"Advanced introduction to fluid dynamics. Basic concepts; elementary viscous flow; Navier-Stokes equations. Elementary airfoil theory; boundary layers. Vortex motion. Waves. Very viscous flow. Compressible flows. Instabilities, bifurcations, turbulence. Requires working knowledge of multivariate calculus, differential equations and mechanics.",3 credits.,None
MATH/STAT  709 — MATHEMATICAL STATISTICS,"Introduction to measure theoretic probability; derivation and transformation of probability distributions; generating functions and characteristic functions; conditional expectation, sufficiency, and unbiased estimation; methods of large sample theory including laws of large numbers and central limit theorems; order statistics.",4 credits.,None
MATH/STAT  710 — MATHEMATICAL STATISTICS,"Estimation, efficiency, Neyman-Pearson theory of hypothesis testing, confidence regions, decision theory, analysis of variance, and distribution of quadratic forms.",4 credits.,None
MATH/COMP SCI  714 — METHODS OF COMPUTATIONAL MATHEMATICS I,"Development of finite difference methods for hyperbolic, parabolic and elliptic partial differential equations. Analysis of accuracy and stability of difference schemes. Direct and iterative methods for solving linear systems. Introduction to finite volume methods. Applications from science and engineering. Students are strongly encouraged to have programming skills (e.g. COMP SCI 200) and some undergraduate numerical analysis (e.g. MATH/COMP SCI  514 or COMP SCI 412), analysis and differential equations (e.g. MATH 322 and MATH 521) and linear algebra (e.g. MATH 341).",3 credits.,None
MATH/COMP SCI  715 — METHODS OF COMPUTATIONAL MATHEMATICS II,"Introduction to spectral methods (Fourier, Chebyshev, Fast Fourier Transform), finite element methods (Galerkin methods, energy estimates and error analysis), and mesh-free methods (Monte-Carlo, smoothed-particle hydrodynamics) for solving partial differential equations. Applications from science and engineering. Applications from science and engineering. Students are strongly encouraged to have programming skills (e.g. COMP SCI 200), undergraduate numerical analysis (e.g. MATH/COMP SCI  514 or COMP SCI 412), analysis (MATH 322 and 521) and linear algebra (e.g. MATH 341 or equiv.)",3 credits.,None
MATH 716 — ORDINARY DIFFERENTIAL EQUATIONS,"Existence, uniqueness, and continuous dependence theorems, linear systems, stability, singular points, and boundary value problems. Qualitative behavior of nonlinear equations, stability, Lyapunov functions, invariant manifolds, bifurcation theory, periodic orbits, and connecting orbits.",3 credits.,None
MATH 717 — STOCHASTIC COMPUTATIONAL METHODS,"Introduction to computational methods that use stochastic algorithms and/or methods that are applied to random or stochastic mathematical problems. The main emphasis will be placed on learning practical tools, while some aspects of theoretical foundations will also be covered (e.g., basic error analysis for numerical solution of stochastic differential equations (SDEs), and basic convergence of Monte Carlo methods). Topics include Monte Carlo methods, Bayesian inference and Bayesian sampling, simulation of Markov chains, numerical analysis for SDEs, data assimilation / state estimation, stochastic optimization methods and random sketching. Applications to science, engineering, finance, data science, and other practical problems also included.",3 credits.,None
MATH 718 — RANDOMIZED LINEAR ALGEBRA AND APPLICATIONS,"Random solvers have been playing increasingly crucial roles in the modern computational tasks. The recent breakthroughs in applied and computational linear algebra that incorporate techniques of randomization have proven to be of great importance in modern applied math, computational sciences and data science, such as inverse problems, machine learning and scientific computing. The guiding principle is that one may greatly reduce computational and storage expenses at the cost of a small probability of failure. Systematic study of these modern methods of randomized linear algebra solvers will be provided, presenting mathematical backgrounds, algorithms, and concrete applications. Core theoretical topics include randomized Kaczmarz and its generalization to stochastic gradient descent, randomized singular value decomposition, random sketching, matrix completion, and compressive sensing, and corresponding applications.",3 credits.,None
MATH 719 — PARTIAL DIFFERENTIAL EQUATIONS,"Classical theory of partial differential equations, together with an introduction to the modern theory based on functional analysis. Familiarity with basic measure theory (e.g. MATH 629 or 721) or concurrent registration in MATH 721 is strongly recommended.",3 credits.,None
MATH 720 — PARTIAL DIFFERENTIAL EQUATIONS,"Linear elliptic, parabolic and hyperbolic equations, continuing with calculus of variations and then nonlinear initial value problems.",3 credits.,None
MATH 721 — A FIRST COURSE IN REAL ANALYSIS,"Real analysis concentrating on measures, integration, and differentiation and including an introduction to Hilbert spaces. Knowledge of undergraduate analysis (e.g. the sequence MATH 521 and 522) is strongly recommended.",3 credits.,None
MATH 722 — COMPLEX ANALYSIS,"The basic theory of functions of one complex variable including Cauchy formula, singularities and residues, meromorphic functions, conformal mappings, harmonic functions, approximation and the nonhomogeneous d-bar equation. Requires knowledge of undergraduate analysis (e.g. the sequence MATH 521 and 522).",3 credits.,None
MATH 725 — A SECOND COURSE IN REAL ANALYSIS,"Continuation of MATH 721. An introduction to further topics in real analysis: Banach spaces, Fourier transforms, elements of distribution theory, and applications.",3 credits.,None
MATH/COMP SCI/I SY E/STAT  726 — NONLINEAR OPTIMIZATION I,"Theory and algorithms for nonlinear optimization, focusing on unconstrained optimization. Line-search and trust-region methods; quasi-Newton methods; conjugate-gradient and limited-memory methods for large-scale problems; derivative-free optimization; algorithms for least-squares problems and nonlinear equations; gradient projection algorithms for bound-constrained problems; and simple penalty methods for nonlinearly constrained optimization. Students are strongly encouraged to have knowledge of linear algebra and familiarity with basic mathematical analysis.",3 credits.,None
MATH/COMP SCI/I SY E  728 — INTEGER OPTIMIZATION,"Introduces optimization problems over integers, and surveys the theory behind the algorithms used in state-of-the-art methods for solving such problems. Special attention is given to the polyhedral formulations of these problems, and to their algebraic and geometric properties. Applicability of Integer Optimization is highlighted with applications in combinatorial optimization. Key topics include: formulations, relaxations, polyhedral theory, cutting planes, decomposition, enumeration.  Students are strongly encouraged to have knowledge of Linear Programming  (e.g., MATH/COMP SCI/I SY E/STAT  525), including algorithms, duality and polyhedral theory.",3 credits.,None
MATH/COMP SCI/I SY E  730 — NONLINEAR OPTIMIZATION II,"Theory and algorithms for nonlinearly constrained optimization. Relevant geometric concepts, including tangent and normal cones, theorems of the alternative, and separation results. Constraint qualifications. Geometric and algebraic expression of first-order optimality conditions. Second-order optimality conditions. Duality. Nonlinear  programming algorithms: merit functions and filters; interior-point, augmented Lagrangian, and sequential quadratic programming algorithms.",3 credits.,None
MATH/STAT  733 — THEORY OF PROBABILITY I,"An introduction to measure theoretic probability and stochastic processes.Topics include foundations, independence, zero-one laws, laws of large numbers, convergence in distribution, characteristic functions, central limit theorems, random walks, conditional expectations. Familiarity with basic measure theory (e.g. MATH 629 or 721) or concurrent registration in MATH 721 is strongly recommended.",3 credits.,None
MATH/STAT  734 — THEORY OF PROBABILITY II,"Possible topics include martingales, weak convergence of measures, introduction to Brownian motion.",3 credits.,None
MATH 735 — STOCHASTIC ANALYSIS,"Foundations of continuous time stochastic processes, semimartingales and the semimartingale integral, Ito's formula, stochastic differential equations, stochastic equations for Markov processes, application in finance, filtering, and control. The course relies on measure theoretic probability theory that can be reviewed at the beginning of the semester.",3 credits.,None
MATH 740 — ENUMERATIVE COMBINATORICS/SYMMETRIC FUNCTIONS,"Inclusion-exclusion principle, permutation statistics, sieve methods, unimodal sequences, posets, lattice theory, Mobius functions, generating functions, bases and transition matrices for symmetric functions, Young tableaux, plane partitions, polytopes, poset homology, Stanley-Reisner rings.",3 credits.,None
MATH 741 — ABSTRACT ALGEBRA,"Usually a study of finite groups and noncommutative rings. Group theoretic topics may include: permutation groups, Lagrange's theorem, Cauchy's theorem and the Sylow theorems, solvable and nilpotent groups. Ring theoretic topics may include: Artinian rings and modules, the Wedderburn theorems, the Hopkins-Levitzki theorem, the Jacobson radical and density theorem. The basic prerequisite for all advanced graduate courses in algebra.  Familiarity with topics in undergraduate algebra (e.g. MATH 541 and 542) is strongly recommended.",3 credits.,None
MATH 742 — ABSTRACT ALGEBRA,"Continuation of MATH 741. Usually the study of commutative rings and fields. Ring theoretic topics may include: modules over PIDs, Noetherian rings and the Hilbert basis theorem, the Lasker-Noether theorem, the Krull intersection theorem, integrality and the Hilbert Nullstellensatz. Field theoretic topics may include: algebraic extensions, Galois theory, solvability of polynomials and classical constructability problems.",3 credits.,None
MATH 746 — TOPICS IN RING THEORY,Will alternate between commutative and noncommutative ring theory. Commutative topics include localization; local rings; dimension theory; Cohen-Macaulay rings. Noncommutative topics include projective modules; injective modules; flat modules; homological and global dimension; Wedderburn and Goldie rings. Basic graduate algebra courses (e.g. MATH 741 and 742) are strongly recommended.,3 credits.,None
MATH 747 — LIE ALGEBRAS,"Lie algebras and matrix groups. Topics: tangent spaces; exponentials; Baker-Campbell-Hausdorff formula; (nilpotent, solvable, semisimple) Lie algebras; Engel's and Lie's theorems; Levi decomposition; Killing form; sl(2)-representations; root systems; Dynkin diagrams; Weyl groups; Cartan and Borel subalgebras; Serre's theorem. Basic graduate algebra courses (e.g. MATH 541 and 542 or MATH 741 and 742) are strongly recommended.",3 credits.,None
MATH 748 — ALGEBRAIC NUMBER THEORY,"A rigorous introduction to the arithmetic of number fields; algebraic integers, geometry of numbers, Dirichlet's Unit Theorem, ideal class groups, first case of Fermat's Last Theorem; prime decompositions, Galois automorphisms. Basic graduate algebra courses (e.g. MATH 741 and 742) are strongly recommended.",3 credits.,None
MATH 749 — ANALYTIC NUMBER THEORY,"An introduction to the Riemann zeta function and Dirichlet L-functions, and their application to topics such as the distribution of prime numbers and the arithmetic of quadratic fields. Familiarity with elementary number theory [such as MATH 567] and complex analysis [such as MATH 623] is strongly recommended.",3 credits.,None
MATH 750 — HOMOLOGICAL ALGEBRA,"Topics include: complexes, cohomology, double complexes, spectral sequences; abelian categories, derived categories, derived functors; Tor and Ext, Koszul complexes; group cohomology; sheaf cohomology, hypercohomology. Basic graduate algebra courses (e.g. MATH 741 and 742) are strongly recommended",3 credits.,None
MATH 751 — INTRODUCTORY TOPOLOGY I,"An introduction to algebraic and differential topology. Elements of homotopy theory, fundamental group, covering spaces. Differentiable manifolds, tangent vectors, regular values, transversality, examples of compact Lie groups. Homological algebra, chain complexes, cell complexes, singular and cellular homology, calculations for surfaces, spheres, projective spaces, etc. Familiarity with undergraduate algebra and topology MATH 541 or 551) is strongly recommended.",3 credits.,None
MATH 752 — INTRODUCTORY TOPOLOGY II,"Continuation of MATH 751. Cohomology, Universal Coefficient Theorem, Kunneth Formula, cup and cap products, applications to manifolds, orientability, Poincare Duality. Differential forms, integration and Stokes Theorem, De Rham Theorem. Calculations, further duality theorems, Euler class, Lefschetz Fixed-Point Theorem.",3 credits.,None
MATH 753 — ALGEBRAIC TOPOLOGY I,"Higher homotopy groups, elements of obstruction theory, fibrations, bundle theory, classifying spaces, applications to smooth mainfolds, differential forms, vector bundles, characteristic classes, cobordism, applications and calculations. Basic graduate topology courses (e.g. MATH 751 and 752) are strongly recommended.",3 credits.,None
MATH 754 — ALGEBRAIC TOPOLOGY II,"Continuation of MATH 753. Topics include: spectral sequences and their applications, topology of Lie Groups, H-spaces, Hopf Algebras, homotopy classification of bundles, the Steenrod Algebra and its applications, intorduction to generalized cohomology theories, spectra, elements of K-theory.",3 credits.,None
MATH 758 — INTRODUCTION TO ERGODIC THEORY AND DYNAMICS,"An introduction to ergodic theory and dynamics covering fundamental theorems of ergodic theory, classical examples of one and two dimensional dynamics as well as applications to study of group actions.",3 credits.,None
MATH 761 — DIFFERENTIABLE MANIFOLDS,"Differentiable manifolds, vector bundles, implicit function theorem, submersions and immersions, vector fields and flows, foliations and Frobenius theorem, differential forms and exterior calculus, integration and Stokes' theorem, De Rham theory, Riemannian metrics. Familiarity with basic undergraduate analysis courses MATH 521 and 522 or MATH 621) is strongly recommended.",3 credits.,None
MATH 763 — INTRODUCTION TO ALGEBRAIC GEOMETRY,"Algebraic preliminaries, including local rings; valuation theory, and power series rings; geometry of algebraic varieties with emphasis on curves and surfaces.",3 credits.,None
MATH 764 — INTRODUCTION TO ALGEBRAIC GEOMETRY,Continuation of MATH 763.,3 credits.,None
MATH 765 — DIFFERENTIAL GEOMETRY,"Covers the metric properties of Riemannian manifolds. The following topics will be covered: Vector bundles and connections, Riemannian metrics, submanifolds and second fundamental form, first variation of arc length, geodesics, Hopf-Rinow theorem, second variation of arc length, Jacobi fields and index lemmas, Bonnet-Meyer theorem, Rauch comparison theorem, spaces of constant curvature, Hodge-de Rham theory. Familiarity with the topics in a differential manifolds course (e.g. MATH 761) is strongly recommended.",3 credits.,None
MATH 770 — FOUNDATIONS OF MATHEMATICS,"First-order logic syntax and semantics, Completeness and Compactness Theorems, Lowenheim-Skolem Theorem, computable and computably enumerable sets, Incompleteness Theorem, axioms of Zermelo-Fraenkel set theory with choice, ordinal and cardinal arithmetic.",3 credits.,None
MATH 771 — SET THEORY,"Martin's Axiom, Suslin and Aronszajn trees, diamond principle, absoluteness and reflection, constructible universe, and one-step forcing constructions. Familiarity with the topics in a basic Foundations course such as MATH 770 is strongly recommended.",3 credits.,None
MATH 773 — COMPUTABILITY THEORY,"Turing degree and jump, strong reducibilities, arithmetic hierarchy, index sets, simple and (hyper)hypersimple sets, easy forcing arguments in computability theory, finite and infinite injury, Friedberg-Muchnik and Sacks Splitting Theorem, Sacks Jump and Sacks Density Theorems, computable ordinals. Familiarity with the topics in a basic Foundations course such as MATH 770 is strongly recommended.",3 credits.,None
MATH 776 — MODEL THEORY,Review of compactness and some consequences. Quantifier elimination with examples. The omitting types theorem. Categoricity. Baldwin-Lachlan theory. Strongly minimal and o-minimal theories. Saturated models. Morley's theorem. Familiarity with the topics in a basic Foundations course such as MATH 770 is strongly recommended.,3 credits.,None
"MATH/CBE/E C E  777 — NONLINEAR DYNAMICS, BIFURCATIONS AND CHAOS","Advanced interdisciplinary introduction to qualitative and geometric methods for dissipative nonlinear dynamical systems. Local bifurcations of ordinary differential equations and maps. Chaotic attractors, horseshoes and detection of chaos.",3 credits.,None
MATH 790 — MASTERS THESIS,Work on a Master's thesis under the supervision of a faculty member.,1-3 credits.,None
MATH 801 — TOPICS IN APPLIED MATHEMATICS,"Selected topics in applied mathematics, applied analysis or numerical analysis and scientific computing.",3 credits.,None
MATH/STAT  803 — EXPERIMENTAL DESIGN I,"Summary of matrix algebra required, theory of estimable functions, incomplete blocks, balanced incomplete block designs, partially balanced incomplete block designs.",3 credits.,None
MATH 807 — DYNAMICAL SYSTEMS,"Treats the qualitative behavior of continuous and discrete dynamical systems, including Hamiltonian systems of differential equations. Typical topics include periodic and almost periodic solutions, the fixed point theorem of Poincare and Birkhoff, invariant curves and KAM theory, celestial mechanics, and chaotic behavior.",3 credits.,None
MATH 821 — ADVANCED TOPICS IN REAL ANALYSIS,Topics in partial differential equations and real analysis.,3 credits.,None
MATH 823 — ADVANCED TOPICS IN COMPLEX ANALYSIS,Several complex variables. Basic several complex variables or more special topics.,3 credits.,None
MATH 825 — SELECTED TOPICS IN FUNCTIONAL ANALYSIS,"Topics will vary and may include spectral theory, nonlinear functional analysis or abstract harmonic analysis.",3 credits.,None
MATH 826 — ADVANCED TOPICS IN FUNCTIONAL ANALYSIS AND DIFFERENTIAL EQUATIONS,Topics in functional analysis and differential equations.,3 credits.,None
MATH 827 — FOURIER ANALYSIS,Introduction to Fourier analysis in Euclidean spaces and related topics that may include singular and oscillatory integrals and trigonometric series.,3 credits.,None
MATH 828 — ADVANCED TOPICS IN HARMONIC ANALYSIS,Continuation of MATH 827. Advanced topics in harmonic analysis.,3 credits.,None
MATH/STAT  833 — TOPICS IN THE THEORY OF PROBABILITY,Advanced topics in probability and stochastic processes.,3 credits.,None
MATH/E C E  842 — TOPICS IN APPLIED ALGEBRA,"Applied topics with emhasis on algebraic constructions and structures. Examples include: algebraic coding theory; codes (algebraic-geometric, convolutional, low-density-parity-check, space-time); curve and lattice based cryptography; watermarking; computer vision (face recognition, multiview geometry).",3 credits.,None
MATH 843 — REPRESENTATION THEORY,"Introduction to the representation theory of Lie groups and their combinatorics. Universal enveloping algebras, highest weight modules, induction, restriction, weights, characters, multiplicity formulas, tensor products, Shapovalov forms, filtrations,  Kazhdan-Zetlin patterns, Littelmann paths.",3 credits.,None
MATH 844 — ARITHMETIC GEOMETRY,An introduction to arithmetic geometry with emphasis on arithmetic of elliptic curves.,3 credits.,None
MATH 845 — CLASS FIELD THEORY,"Introduction to local and global class field theory. Theory of local fields; local and global class field theory; complex multiplication, adeles, ideles, idele class characters, Tchebotarev's Density Theorem, CM elliptic curves, construction of class fields of imaginary quadratic fields.",3 credits.,None
MATH 846 — TOPICS IN COMBINATORICS,"Topics in algebraic combinatorics such as (but not limited to) association schemes, hypergeometric series, classical orthogonal polynomials, codes,  lattices, invariant theory, alternating sign matrices and domino tilings, statistical mechanical models, 6j-symbols, buildings and diagram geometries, matroids.",3 credits.,None
MATH 847 — TOPICS IN ALGEBRA,"Topics may include: Lie groups, algebraic groups, Chevalley groups, simple groups and associated geometries, group cohomology, group rings, Hopf algebras, enveloping algebras, quantum groups, infinite-dimensional Lie algebras, Hecke algebras, automorphic forms, Galois representations, zeta and L-functions, abelian varieties.",3 credits.,None
MATH 848 — ADVANCED TOPICS IN NUMBER THEORY,"This is an advanced graduate topic course in number theory. Topics will vary. Target audience: Advanced graduate students in number theory, representation theory, and algebraic geometry.",3 credits.,None
MATH 849 — AUTOMORPHIC FORMS,Classical and/or modern theory of automorphic forms. Representation theory of GL(2).,3 credits.,None
MATH 851 — TOPICS IN GEOMETRIC TOPOLOGY,Advanced Topics in Geometric Topology.,3 credits.,None
MATH 853 — TOPICS IN ALGEBRAIC TOPOLOGY,Topics in Algebraic Topology.,3 credits.,None
MATH 856 — TOPICS IN DIFFERENTIAL TOPOLOGY,"The theory of differential manifolds such as differential forms and de Rham theorem, cobordism groups, Lie groups, homogeneous spaces, fiber bundles, characteristic classes.",3 credits.,None
MATH 863 — ADVANCED TOPICS IN ALGEBRAIC GEOMETRY,"Geometry of several complex variables; algebraic groups, abelian varieties; topological aspects of algebraic geometry, including sheaf theory and homology theory; advanced theory of local rings; intersection theory of algebraic varieties.",3 credits.,None
MATH 865 — ADVANCED TOPICS IN GEOMETRY,"Selected from advanced projective geometry, non-Euclidean geometry, Riemannian geometry, distance geometry and the geometry of convex surfaces, geometry of numbers.",3 credits.,None
MATH 867 — ANALYTIC NUMBER THEORY,"Prime number theory, prime number theory for arithmetic progressions, additive number theory, density theorems.",3 credits.,None
MATH 873 — ADVANCED TOPICS IN FOUNDATIONS,Advanced topics from all areas of mathematical logic.,3 credits.,None
MATH/E C E/STAT  888 — TOPICS IN MATHEMATICAL DATA SCIENCE,Advanced topics in the mathematical foundations of data science,1-3 credits.,None
MATH 900 — GRADUATE TEACHING SEMINAR,Focuses on theory and practical skills relevant to teaching mathematics at the graduate or post-secondary level.,1 credit.,None
MATH 921 — SEMINAR IN ANALYSIS,Selected topics in Analysis.,1-3 credits.,None
MATH 941 — SEMINAR-ALGEBRA,Selected topics in Algebra.,1-3 credits.,None
MATH 951 — SEMINAR IN TOPOLOGY,Selected topics in Topology.,1-3 credits.,None
MATH 967 — SEMINAR IN NUMBER THEORY,Selected topics in Number Theory.,1-3 credits.,None
MATH 975 — SEMINAR-THE FOUNDATIONS OF MATHEMATICS,Selected topics in Mathematical Logic.,1-3 credits.,None
MATH 990 — READING AND RESEARCH,Reading and research in all areas of Mathematics.,1-3 credits.,None
